id, jobId, staffId, status, active, jobDate, offeredDate
"59c27bc1c7685a001991e3b1", "59bfe7d1594d35001a0205a2", "59b2868fabb93f00187ab87a", "skipped", false, "2017-09-26", ""
"59c27bc9c7685a001991e3b2", "59b6a048abb93f00187ab89b", "59b2868fabb93f00187ab87a", "skipped", false, "2017-09-26", ""
"59c27be8c7685a001991e3b3", "59bfe84d594d35001a0205a3", "59b2868fabb93f00187ab87a", "skipped", false, "2017-09-25", ""
"59c27bf3c7685a001991e3b4", "59b692fc99ad870018545dca", "59b2868fabb93f00187ab87a", "skipped", false, "2017-09-24", ""
"59c27bf6c7685a001991e3b5", "59b69252abb93f00187ab89a", "59b2868fabb93f00187ab87a", "skipped", false, "2017-09-24", ""
"59c27bfac7685a001991e3b6", "59b6919c99ad870018545dc9", "59b2868fabb93f00187ab87a", "skipped", false, "2017-09-23", ""
"59c27c00c7685a001991e3b7", "59c13306c7685a001991e3a2", "59b2868fabb93f00187ab87a", "skipped", false, "2017-09-20", ""
"59c29592594d35001a0205c8", "59bfea4ac7685a001991e37a", "59b274c199ad870018545db0", "deal", true, "2017-10-03", "2017-09-20"
"59c295bf594d35001a0205c9", "59bfe930c7685a001991e378", "59b274c199ad870018545db0", "confirmed", true, "2017-10-04", "2017-09-20"
"59c30edf594d35001a0205cb", "59b7bfedabb93f00187ab8a9", "59b3cd80abb93f00187ab888", "skipped", false, "2017-09-22", ""
"59c3c93bc7685a001991e3bc", "59c3c8d5c7685a001991e3ba", "59b1525b99ad870018545da8", "deal", true, "2017-09-27", "2017-09-21"
"59c3c94a594d35001a0205cc", "59c3c8f9c7685a001991e3bb", "59b1525b99ad870018545da8", "deal", true, "2017-10-08", "2017-09-21"
"59c3cd28c7685a001991e3bd", "59c3c8f9c7685a001991e3bb", "59b3843599ad870018545dc1", "rejected", true, "2017-10-08", ""
"59c3d53d594d35001a0205ce", "59c3d4f9c7685a001991e3c0", "59b2bd0f99ad870018545dbf", "confirmed", true, "2017-10-04", "2017-09-21"
"59c3d57c594d35001a0205cf", "59c3d4e4594d35001a0205cd", "59b2745899ad870018545dae", "applied", true, "2017-10-06", ""
"59c3d59e594d35001a0205d0", "59c3d4e4594d35001a0205cd", "59b2868fabb93f00187ab87a", "deal", true, "2017-10-06", "2017-09-21"
"59c3d614c7685a001991e3c5", "59c3d4f9c7685a001991e3c0", "59b2868fabb93f00187ab87a", "deal", true, "2017-10-04", "2017-09-21"
"59c3d615c7685a001991e3c6", "59c3d55bc7685a001991e3c3", "59b7d49cabb93f00187ab8ac", "skipped", false, "2017-10-11", ""
"59c3d641594d35001a0205d1", "59c3d572c7685a001991e3c4", "59b7d49cabb93f00187ab8ac", "skipped", false, "2017-10-13", ""
"59c3d6c4c7685a001991e3c7", "59c3d4bac7685a001991e3be", "59b2868fabb93f00187ab87a", "skipped", false, "2017-10-04", ""
"59c3d6cec7685a001991e3c8", "59c3d4cfc7685a001991e3bf", "59b2868fabb93f00187ab87a", "skipped", false, "2017-10-06", ""
"59c3d6d7c7685a001991e3c9", "59c3c8f9c7685a001991e3bb", "59b2868fabb93f00187ab87a", "skipped", false, "2017-10-08", ""
"59c3d6dcc7685a001991e3ca", "59c3d51fc7685a001991e3c1", "59b2868fabb93f00187ab87a", "skipped", false, "2017-10-09", ""
"59c3d6e3c7685a001991e3cb", "59c3d55bc7685a001991e3c3", "59b2868fabb93f00187ab87a", "skipped", false, "2017-10-11", ""
"59c3d6efc7685a001991e3cd", "59c3d572c7685a001991e3c4", "59b2868fabb93f00187ab87a", "skipped", false, "2017-10-13", ""
"59c3d7da594d35001a0205d4", "59c3d7c1594d35001a0205d3", "59b3843599ad870018545dc1", "skipped", false, "2017-10-14", ""
"59c3d8be594d35001a0205d8", "59c3d89ac7685a001991e3cf", "59b3843599ad870018545dc1", "rejected", true, "2017-10-13", ""
"59c3dbd7c7685a001991e3d0", "59c3c8d5c7685a001991e3ba", "59a6f21514154300192fd460", "skipped", false, "2017-09-27", ""
